description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Pepinillo,S/ 2.39 x kg,plaza_vea,PEPINO,2024-12-04 13:57:06.459434,1.0,kg,Pepinillo,2.39,plaza_vea,Presentación 1 kg aprox.,,PEPINO
Limpiador VCLEAN Pino Botella 900ml,S/ 3.20,vega,PEPINO,2024-12-04 14:01:35.675794,900.0,ml,Limpiador VCLEAN Pino Botella,3.2,vega,,Vclean,PEPINO
Pepino Holandés BELL'S FRESCOS x un,S/ 3.39,vivanda,PEPINO,2024-12-04 17:49:51.708009,1.0,un,Pepino Holandés BELL'S FRESCOS,3.39,vivanda,,BELL'S FRESCOS,PEPINO
Pepino Holandés Hidropónico de Invernadero Ecologic x unid,S/ 3.80,metro,PEPINO,2024-12-04 21:35:55.363684,1.0,un,Pepino Holandés Hidropónico de Invernadero Ecologic,3.8,metro,,,PEPINO
Pepino Holandés Hidropónico de Invernadero Ecologic x unid,S/ 3.80,wong,PEPINO,2024-12-04 19:36:46.384918,1.0,un,Pepino Holandés Hidropónico de Invernadero Ecologic,3.8,wong,,,PEPINO
Pepino Holandés Cuisine & Co 300g,S/ 4.00,metro,PEPINO,2024-12-04 21:35:55.363684,300.0,g,Pepino Holandés Cuisine & Co,4.0,metro,,,PEPINO
Pepino Holandés Cuisine & Co 300g,S/ 4.00,wong,PEPINO,2024-12-04 19:36:46.384918,300.0,g,Pepino Holandés Cuisine & Co,4.0,wong,,,PEPINO
Pepino Melón x kg,S/ 4.99 x kg,metro,PEPINO,2024-12-04 21:35:55.363684,1.0,kg,Pepino Melón,4.99,metro,,,PEPINO
Tomate Redondo x kg,S/ 4.99 x kg,plaza_vea,PEPINO,2024-12-04 13:57:06.459434,1.0,kg,Tomate Redondo,4.99,plaza_vea,Presentación 1 kg aprox.,,PEPINO
Desinfectante Multiuso SAPOLIO Pino Botella 900ml,S/ 5.50,vega,PEPINO,2024-12-04 14:01:35.675794,900.0,ml,Desinfectante Multiuso SAPOLIO Pino Botella,5.5,vega,,Sapolio,PEPINO
Tomate Italiano,S/ 5.60 x kg,plaza_vea,PEPINO,2024-12-04 13:57:06.459434,0.5,kg,Tomate Italiano,5.6,plaza_vea,Presentación 0.5 kg aprox.,,PEPINO
Pepino Melón x kg,S/ 5.99 x kg,wong,PEPINO,2024-12-04 19:36:46.384918,1.0,kg,Pepino Melón,5.99,wong,,,PEPINO
Pimiento Morrón,S/ 6.29 x kg,plaza_vea,PEPINO,2024-12-04 13:57:06.459434,0.3,kg,Pimiento Morrón,6.29,plaza_vea,Presentación 0.3 kg aprox.,,PEPINO
Tomate Italiano BELL'S Bolsa 1Kg,S/ 6.99 un,plaza_vea,PEPINO,2024-12-04 13:57:06.459434,1.0,kg,Tomate Italiano BELL'S Bolsa,6.99,plaza_vea,Bolsa 1Kg,,PEPINO
Ready To Drink (RTD) INDIE SPIRIT Gin Tonic Li...,S/ 7.40 un,plaza_vea,PEPINO,2024-12-04 13:57:06.459434,355.0,ml,Ready To Drink (RTD) INDIE SPIRIT Gin Tonic Li,7.4,plaza_vea,Lata 355ml,,PEPINO
Pimiento Verde,S/ 7.99 x kg,plaza_vea,PEPINO,2024-12-04 13:57:06.459434,0.3,kg,Pimiento Verde,7.99,plaza_vea,Presentación 0.3 kg aprox.,,PEPINO
Jabón Líquido Family Care Pepino y Flor de Loto 400ml,S/ 8.50,metro,PEPINO,2024-12-04 21:35:55.363684,400.0,ml,Jabón Líquido Family Care Pepino y Flor de Loto,8.5,metro,,,PEPINO
Pepinillo Sin Pepas VIVA x un,S/ 8.90 un,plaza_vea,PEPINO,2024-12-04 13:57:06.459434,1.0,un,Pepinillo Sin Pepas VIVA,8.9,plaza_vea,Paquete 1un,,PEPINO
Desinfectante Multiuso PINESOL Pino Botella 900ml,S/ 10.70,vega,PEPINO,2024-12-04 14:01:35.675794,900.0,ml,Desinfectante Multiuso PINESOL Pino Botella,10.7,vega,,Pinesol,PEPINO
Limpiador VCLEAN Pino Galón 4L,S/ 10.90,vega,PEPINO,2024-12-04 14:01:35.675794,4.0,l,Limpiador VCLEAN Pino Galón,10.9,vega,,Vclean,PEPINO
Leche Limpiadora De Pepino 210g,S/ 14.90,tottus,PEPINO,2024-12-04 13:32:35.823967,210.0,g,Leche Limpiadora De Pepino,14.9,tottus,,PORTUGAL,PEPINO
Crema Facial Limpiadora Pepino 100 g,S/ 25.90,tottus,PEPINO,2024-12-04 13:32:35.823967,100.0,g,Crema Facial Limpiadora Pepino,25.9,tottus,,PONDS,PEPINO
Pond's Crema Facial de Limpieza C con Extracto de Pepino Pote 100 g,S/ 25.90,metro,PEPINO,2024-12-04 21:35:55.363684,100.0,g,Pond's Crema Facial de Limpieza C con Extracto de Pepino Pote,25.9,metro,,,PEPINO
Comida para Gatos FRISKIES Adulto Selección Especial Bolsa 7.5kg,S/ 87.00 8%,vega,PEPINO,2024-12-04 14:01:35.675794,7.5,kg,Comida para Gatos FRISKIES Adulto Selección Especial Bolsa,87.0,vega,,Friskies,PEPINO
