description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Papas RIKY TOK Ondas Naturales Bolsa 30g,S/ 1.00,vega,PAPAYA,2024-12-04 13:55:50.811937,30.0,g,1.0,vega,,RIKY TOK,PAPAYA
Papas PAPI RICAS Sabor Picante Bolsa 28gr,S/ 1.50,vega,PAPAYA,2024-12-04 13:55:50.811937,28.0,g,1.5,vega,,PAPI RICAS,PAPAYA
"Bebida de Piña, Papaya, Naranja y Plátano Gloria Caja 500ml",S/ 2.10,wong,PAPAYA,2024-12-04 19:30:08.627849,500.0,ml,2.1,wong,,,PAPAYA
"Bebida de Piña, Papaya, Naranja y Plátano Gloria Caja 500ml",S/ 2.10,metro,PAPAYA,2024-12-04 21:30:48.850789,500.0,ml,2.1,metro,,,PAPAYA
Papas PAPI RICAS Sabor Picante Bolsa 70gr,S/ 2.80,vega,PAPAYA,2024-12-04 13:55:50.811937,70.0,g,2.8,vega,,PAPI RICAS,PAPAYA
Papaya Metro x kg,S/ 3.29 x kg,metro,PAPAYA,2024-12-04 21:30:48.850789,1.0,kg,3.29,metro,,,PAPAYA
Papaya,S/ 3.50 x kg,plaza_vea,PAPAYA,2024-12-04 13:50:49.571868,1.5,kg,3.5,plaza_vea,Presentación 1.5 kg aprox.,,PAPAYA
Papaya x Kg,S/ 3.70,vivanda,PAPAYA,2024-12-04 17:45:42.860615,1.0,kg,3.7,vivanda,,VIVANDA,PAPAYA
Papaya Sur Metro x kg,S/ 3.99 x kg,metro,PAPAYA,2024-12-04 21:30:48.850789,1.0,kg,3.99,metro,,,PAPAYA
Papa seca VEGA Bolsa 400g,S/ 4.30,vega,PAPAYA,2024-12-04 13:55:50.811937,400.0,g,4.3,vega,,Vega,PAPAYA
Papa Seca TIMONEL Bolsa 400gr,S/ 5.10,vega,PAPAYA,2024-12-04 13:55:50.811937,400.0,g,5.1,vega,,Timonel,PAPAYA
Papas al Hilo VEGA Bolsa 150gr,S/ 5.20,vega,PAPAYA,2024-12-04 13:55:50.811937,150.0,g,5.2,vega,,Vega,PAPAYA
Papaya en Trozos BELL'S Bandeja 300g,S/ 5.69 un,plaza_vea,PAPAYA,2024-12-04 13:50:49.571868,300.0,g,5.69,plaza_vea,Bandeja 300g,,PAPAYA
Papas RIKY TOK Ondas Picantes Bolsa 180g,S/ 5.70,vega,PAPAYA,2024-12-04 13:55:50.811937,180.0,g,5.7,vega,,RIKY TOK,PAPAYA
Papas LAYS Clásicas Bolsa 150g,S/ 5.80,vega,PAPAYA,2024-12-04 13:55:50.811937,150.0,g,5.8,vega,,Lays,PAPAYA
Papitas al Hilo LAYS con Sal Bolsa 155gr,S/ 5.80,vega,PAPAYA,2024-12-04 13:55:50.811937,155.0,g,5.8,vega,,Lays,PAPAYA
Papas LAYS Ondas Picantes Bolsa 140g,S/ 5.90,vega,PAPAYA,2024-12-04 13:55:50.811937,140.0,g,5.9,vega,,Lays,PAPAYA
Papaya en Trozos Congelada Fest 500g,S/ 6.99,metro,PAPAYA,2024-12-04 21:30:48.850789,500.0,g,6.99,metro,,,PAPAYA
Papas LAYS Clásicas Bolsa 210gr,S/ 7.00,vega,PAPAYA,2024-12-04 13:55:50.811937,210.0,g,7.0,vega,,Lays,PAPAYA
Papas Fritas INKA CHIPS BBQ y Cebolla Bolsa 135g,S/ 7.80,vega,PAPAYA,2024-12-04 13:55:50.811937,135.0,g,7.8,vega,,INKA CHIPS,PAPAYA
Origens Comida para Gatos Filete de Atún con Papaya Lata 85 g,S/ 7.80,metro,PAPAYA,2024-12-04 21:30:48.850789,85.0,g,7.8,metro,,,PAPAYA
Papel Higiénico PARACAS Gold Negro Doble Hoja Paquete 4un,S/ 7.90,vega,PAPAYA,2024-12-04 13:55:50.811937,4.0,un,7.9,vega,,Paracas,PAPAYA
Papaya en Trozos Congelada FEST Paquete 500g,S/ 7.99 un,plaza_vea,PAPAYA,2024-12-04 13:50:49.571868,500.0,g,7.99,plaza_vea,Bolsa 500g,,PAPAYA
Papaya en Trozos Natifrut 280g,S/ 8.49,wong,PAPAYA,2024-12-04 19:30:08.627849,280.0,g,8.49,wong,,,PAPAYA
Papas PRINGLES Queso Lata 109g,S/ 8.90,vega,PAPAYA,2024-12-04 13:55:50.811937,109.0,g,8.9,vega,,Pringles,PAPAYA
"Ensalada de Frutas Piña, Sandía y Papaya Natifrut 340g",S/ 9.49,wong,PAPAYA,2024-12-04 19:30:08.627849,340.0,g,9.49,wong,,,PAPAYA
Mermelada Dietética D'Marco De Piña/Papaya Frasco 220 g,S/ 12.90,wong,PAPAYA,2024-12-04 19:30:08.627849,220.0,g,12.9,wong,,,PAPAYA
Mermelada Dietética D'Marco De Maracuyá/Papaya Frasco 210 g,S/ 12.90,wong,PAPAYA,2024-12-04 19:30:08.627849,210.0,g,12.9,wong,,,PAPAYA
Piña en Trozos Golden 500g,S/ 13.49,wong,PAPAYA,2024-12-04 19:30:08.627849,500.0,g,13.49,wong,,,PAPAYA
Papaya Congelada En Trozos 1Kg,S/ 14.90,tottus,PAPAYA,2024-12-04 13:28:40.887643,1.0,kg,14.9,tottus,,TOTTUS,PAPAYA
"Mix de Fresa, Papaya y Piña Congelada EL FRUTE...",S/ 15.49 un,plaza_vea,PAPAYA,2024-12-04 13:50:49.571868,1.0,kg,15.49,plaza_vea,Bolsa 1Kg,,PAPAYA
Mix de Frutas El Frutero 1kg: Fresa + Papaya + Piña,S/ 15.49,metro,PAPAYA,2024-12-04 21:30:48.850789,1.0,kg,15.49,metro,,,PAPAYA
"Mix de Fresa, Papaya y Piña Congelada EL FRUTERO Bolsa 1Kg",S/ 15.49,vivanda,PAPAYA,2024-12-04 17:45:42.860615,1.0,kg,15.49,vivanda,,EL FRUTERO,PAPAYA
Trozos de Papaya Congelada EL FRUTERO Bolsa 1K...,S/ 15.69 un,plaza_vea,PAPAYA,2024-12-04 13:50:49.571868,1.0,kg,15.69,plaza_vea,Bolsa 1Kg,,PAPAYA
"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut 1kg",S/ 15.72,wong,PAPAYA,2024-12-04 19:30:08.627849,1.0,kg,15.72,wong,,,PAPAYA
"Fruta en Trozos Piña, Papaya y Fresa Congelada Natifrut 1kg",S/ 15.72,wong,PAPAYA,2024-12-04 19:30:08.627849,1.0,kg,15.72,wong,,,PAPAYA
