description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Bizcocho Chocolate RICCO'S Reyenito Bolsa 56g,S/ 1.50,vivanda,BIZCOCHOS,2024-12-04 17:15:16.841247,56.0,g,Bizcocho Chocolate RICCO'S Reyenito Bolsa,1.5,vivanda,,RICCO S,BIZCOCHOS
Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack 90g,S/ 2.50,wong,BIZCOCHOS,2024-12-04 18:15:03.843197,90.0,g,Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack,2.5,wong,,,BIZCOCHOS
Kekitos Todinno 2un,S/ 2.50,wong,BIZCOCHOS,2024-12-04 18:15:03.843197,2.0,un,Kekitos Todinno,2.5,wong,,,BIZCOCHOS
Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack 90g,S/ 2.50,metro,BIZCOCHOS,2024-12-04 20:42:25.850610,90.0,g,Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack,2.5,metro,,,BIZCOCHOS
Mini Panetón Minions Caja 80g Surtido,S/ 3.50,wong,BIZCOCHOS,2024-12-04 18:15:03.843197,80.0,g,Mini Panetón Minions Caja  Surtido,3.5,wong,,,BIZCOCHOS
Mini Panetón Minions Caja 80g Surtido,S/ 3.50,metro,BIZCOCHOS,2024-12-04 20:42:25.850610,80.0,g,Mini Panetón Minions Caja  Surtido,3.5,metro,,,BIZCOCHOS
Keke Sabor Vainilla PYC Kekitos 3un,S/ 3.70,wong,BIZCOCHOS,2024-12-04 18:15:03.843197,3.0,un,Keke Sabor Vainilla PYC Kekitos,3.7,wong,,,BIZCOCHOS
Keke Sabor Naranja PYC Kekitos 3un,S/ 3.70,wong,BIZCOCHOS,2024-12-04 18:15:03.843197,3.0,un,Keke Sabor Naranja PYC Kekitos,3.7,wong,,,BIZCOCHOS
Keke Sabor Vainilla PYC Kekitos 3un,S/ 3.70,metro,BIZCOCHOS,2024-12-04 20:42:25.850610,3.0,un,Keke Sabor Vainilla PYC Kekitos,3.7,metro,,,BIZCOCHOS
Bizcocho COSTA Caritas Paquete 6un,S/ 3.79 un,plaza_vea,BIZCOCHOS,2024-12-04 12:57:10.604937,6.0,un,Bizcocho COSTA Caritas Paquete,3.79,plaza_vea,Paquete 6un,,BIZCOCHOS
Keke Sabor Chocolate Relleno con Crema Pingüinos Marinela Paquete 2 unid,S/ 3.80,wong,BIZCOCHOS,2024-12-04 18:15:03.843197,2.0,un,Keke Sabor Chocolate Relleno con Crema Pingüinos Marinela Paquete,3.8,wong,,,BIZCOCHOS
Bizcocho Cancun Pack 6 Unidades,S/ 3.80,metro,BIZCOCHOS,2024-12-04 20:42:25.850610,6.0,un,Bizcocho Cancun Pack ades,3.8,metro,,,BIZCOCHOS
Bizcocho Chocotoncito Bolsa 80 gr,S/ 3.90,tottus,BIZCOCHOS,2024-12-04 12:59:51.512312,80.0,g,Bizcocho Chocotoncito Bolsa r,3.9,tottus,,DONOFRIO,BIZCOCHOS
Bizcocho Chocman Relleno De Manjar 6 Unidades x 33.5 g,S/ 3.95,tottus,BIZCOCHOS,2024-12-04 12:59:51.512312,6.0,un,Bizcocho Chocman Relleno De Manjar ades x,3.95,tottus,,COSTA,BIZCOCHOS
Keke Bimbo Bimbolete Marmoleado 3un,S/ 4.00,wong,BIZCOCHOS,2024-12-04 18:15:03.843197,3.0,un,Keke Bimbo Bimbolete Marmoleado,4.0,wong,,,BIZCOCHOS
Keke Sabor Vainilla Bimbolete Bimbo Paquete 3 unid,S/ 4.00,wong,BIZCOCHOS,2024-12-04 18:15:03.843197,3.0,un,Keke Sabor Vainilla Bimbolete Bimbo Paquete,4.0,wong,,,BIZCOCHOS
Bizcocho Relleno Chocman Black Pack 6un,S/ 4.10,metro,BIZCOCHOS,2024-12-04 20:42:25.850610,6.0,un,Bizcocho Relleno Chocman Black Pack,4.1,metro,,,BIZCOCHOS
Bizcocho Chocman Black 29 g,S/ 4.20,tottus,BIZCOCHOS,2024-12-04 12:59:51.512312,29.0,g,Bizcocho Chocman Black,4.2,tottus,,COSTA,BIZCOCHOS
Bizcocho Relleno Chocman Black Pack 6un,S/ 4.30,wong,BIZCOCHOS,2024-12-04 18:15:03.843197,6.0,un,Bizcocho Relleno Chocman Black Pack,4.3,wong,,,BIZCOCHOS
Mini Panetón Donofrio Chocotoncito Bolsa 80g,S/ 4.40,metro,BIZCOCHOS,2024-12-04 20:42:25.850610,80.0,g,Mini Panetón Donofrio Chocotoncito Bolsa,4.4,metro,,,BIZCOCHOS
Panetón D'onofrio Panetoncito Caja 90g,S/ 4.50,wong,BIZCOCHOS,2024-12-04 18:15:03.843197,90.0,g,Panetón D'onofrio Panetoncito Caja,4.5,wong,,,BIZCOCHOS
Bizcocho COSTA Chocman 33.5gr Paquete 6u,S/ 4.50,vega,BIZCOCHOS,2024-12-04 13:07:20.903224,33.5,g,Bizcocho COSTA Chocman r Paquete 6u,4.5,vega,,Costa,BIZCOCHOS
Bizcocho Sabor Chocolate Relleno de Crema 6 Unidades,S/ 4.50,tottus,BIZCOCHOS,2024-12-04 12:59:51.512312,6.0,un,Bizcocho Sabor Chocolate Relleno de Crema ades,4.5,tottus,,CANCUN,BIZCOCHOS
Sixpack Bizcocho Chocman 33.5g,S/ 4.50,wong,BIZCOCHOS,2024-12-04 18:15:03.843197,33.5,g,Sixpack Bizcocho Chocman,4.5,wong,,,BIZCOCHOS
Panetón D'onofrio Panetoncito Caja 90g,S/ 4.50,metro,BIZCOCHOS,2024-12-04 20:42:25.850610,90.0,g,Panetón D'onofrio Panetoncito Caja,4.5,metro,,,BIZCOCHOS
BIZCOCHO CARITAS RELL VAINILLA BOL 28GX6UND,S/ 4.50,tottus,BIZCOCHOS,2024-12-04 12:59:51.512312,28.0,g,BIZCOCHO CARITAS RELL VAINILLA BOL XD,4.5,tottus,,COSTA,BIZCOCHOS
Mini Panetón Sapito Doypack 75g,S/ 4.50,wong,BIZCOCHOS,2024-12-04 18:15:03.843197,75.0,g,Mini Panetón Sapito Doypack,4.5,wong,,,BIZCOCHOS
Bizcocho Relleno con Manjar CHOCMAN Paquete 6un,S/ 4.50,vivanda,BIZCOCHOS,2024-12-04 17:15:16.841247,6.0,un,Bizcocho Relleno con Manjar CHOCMAN Paquete,4.5,vivanda,,COSTA,BIZCOCHOS
