description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Sopa Instantánea Ajinomen Sabor Pollo 80g,,80.0,g,1.6,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,20.0,POLLO EVISCERADO
Tamal de Pollo RECUTECU Empaque 180g,RECUTECU,180.0,g,4.9,vivanda,2024-12-05 21:42:08.336357,POLLO EVISCERADO,1.0,kg,27.222222222222225,POLLO EVISCERADO
Hot Dog de Pollo Ahumado San Fernando 220g,,220.0,g,5.7,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,25.909090909090914,POLLO EVISCERADO
Causa de Pollo LA FLORENCIA Bandeja 170g,LA FLORENCIA,170.0,g,6.0,vivanda,2024-12-05 21:42:08.336357,POLLO EVISCERADO,1.0,kg,35.29411764705882,POLLO EVISCERADO
Tamal Chinchano de Pollo RECUTECU Paquete 400g,RECUTECU,400.0,g,7.5,vivanda,2024-12-05 21:42:08.336357,POLLO EVISCERADO,1.0,kg,18.75,POLLO EVISCERADO
Patas de Pollo x kg,,1.0,kg,7.9,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,7.9,POLLO EVISCERADO
Proteína de Soya BHAKTI NATURA Pollo Vegetariano Caja 150g,BHAKTI NATURA,150.0,g,8.0,vivanda,2024-12-05 21:42:08.336357,POLLO EVISCERADO,1.0,kg,53.333333333333336,POLLO EVISCERADO
Pierna de Pollo Importada x kg,,1.0,kg,8.9,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,8.9,POLLO EVISCERADO
Hígado de Pollo x kg,,1.0,kg,8.9,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,8.9,POLLO EVISCERADO
Lunch Arroz Chaufa de Pollo LA FLORENCIA 500g,LA FLORENCIA,500.0,g,8.9,vivanda,2024-12-05 21:42:08.336357,POLLO EVISCERADO,1.0,kg,17.8,POLLO EVISCERADO
Hígado de Pollo Redondos x kg,,1.0,kg,8.9,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,8.9,POLLO EVISCERADO
Pierna de Pollo Importada x kg,,1.0,kg,8.9,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,8.9,POLLO EVISCERADO
Salchicha de Pollo SAN FERNANDO Paquete 500g,SAN FERNANDO,500.0,g,9.4,vivanda,2024-12-05 21:42:08.336357,POLLO EVISCERADO,1.0,kg,18.8,POLLO EVISCERADO
Pollo Entero Fresco Metro x kg,,1.0,kg,9.4,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,9.4,POLLO EVISCERADO
Pollo Entero con Menudencia x kg,,1.0,kg,9.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,9.5,POLLO EVISCERADO
