description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Canela Entera KARIÑO Sobre 3g,Kariño,3.0,g,0.9,vega,2024-12-05 11:37:55.276485,QUINUA ENTERA,1.0,kg,300.0,QUINUA ENTERA
Orégano Entero 10 g,TOTTUS,10.0,g,1.4,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,140.0,QUINUA ENTERA
Orégano Entero 9 g,SIBARITA,9.0,g,2.1,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,233.33333333333334,QUINUA ENTERA
Quinua Avena 3 OSITOS Bolsa 150gr,3 Ositos,150.0,g,2.2,vega,2024-12-05 11:37:55.276485,QUINUA ENTERA,1.0,kg,14.666666666666668,QUINUA ENTERA
Pimienta BELL'S Negra Entera Sobre 15g,BELL'S,15.0,g,2.5,vivanda,2024-12-05 21:29:04.226491,QUINUA ENTERA,1.0,kg,166.66666666666669,QUINUA ENTERA
Quinua Avena SANTA CATALINA Bolsa 150g,SANTA CATALINA,150.0,g,2.5,vivanda,2024-12-05 21:29:04.226491,QUINUA ENTERA,1.0,kg,16.666666666666668,QUINUA ENTERA
Quinua Avena GRANO DE ORO Hojuelas Precocidas Bolsa 170g,GRANO ORO,170.0,g,2.9,vivanda,2024-12-05 21:29:04.226491,QUINUA ENTERA,1.0,kg,17.058823529411764,QUINUA ENTERA
Clavo Entero 10 g,TOTTUS,10.0,g,2.9,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,290.0,QUINUA ENTERA
Entero De Anchoveta En Salsa De Tomate 200 g,SANTORINI,200.0,g,2.9,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,14.5,QUINUA ENTERA
Orégano Entero Kariño 18 g,,18.0,g,3.3,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,183.33333333333334,QUINUA ENTERA
Romero Entero Kariño 8 g,,8.0,g,3.3,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,412.5,QUINUA ENTERA
Quinua Avena 3 Ositos Bolsa 270g,3 Ositos,270.0,g,3.6,vega,2024-12-05 11:37:55.276485,QUINUA ENTERA,1.0,kg,13.333333333333332,QUINUA ENTERA
Tomillo Entero Kariño 5 g,,5.0,g,3.7,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,740.0,QUINUA ENTERA
AJINOMEN VASO SABOR POLLO CON QUINUA 57 GR,AJINOMOTO,57.0,g,3.9,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,68.42105263157893,QUINUA ENTERA
Quinua Avena 380 g,TOTTUS,380.0,g,4.0,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,10.526315789473685,QUINUA ENTERA
Palitos De Quinua Y Garbanzo Q Sticks Sabor Finas Hierbas Bolsa 30 g,WASI ORGANICS,30.0,g,4.1,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,136.66666666666666,QUINUA ENTERA
Clavo de Olor Entero Kariño 8 g,,8.0,g,4.2,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,525.0,QUINUA ENTERA
Canela Entera KARIÑO Sobre 9g,KARINO,9.0,g,4.2,vivanda,2024-12-05 21:29:04.226491,QUINUA ENTERA,1.0,kg,466.6666666666667,QUINUA ENTERA
Leche Reconstituida Entera GLORIA Lata 390g,GLORIA,390.0,g,4.2,vivanda,2024-12-05 21:29:04.226491,QUINUA ENTERA,1.0,kg,10.769230769230768,QUINUA ENTERA
Clavo De Olor Entero Cuatro Estaciones 10 g,,10.0,g,4.3,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,430.0,QUINUA ENTERA
Quinua Avena GRANO DE ORO Hojuelas Precocidas Bolsa 370g,GRANO ORO,370.0,g,4.5,vivanda,2024-12-05 21:29:04.226491,QUINUA ENTERA,1.0,kg,12.162162162162161,QUINUA ENTERA
Chips de Quinua Natural 100 g,TIYAPUY,100.0,g,4.65,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,46.5,QUINUA ENTERA
Chips de Quinua BBQ 100 g,TIYAPUY,100.0,g,4.65,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,46.5,QUINUA ENTERA
Quinua Avena 370 g,GRANO DE ORO,370.0,g,4.9,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,13.243243243243244,QUINUA ENTERA
Orégano Entero 10 g,TOTTUS,10.0,g,5.3,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,530.0,QUINUA ENTERA
Quinua Avena 270 g,3 OSITOS,270.0,g,5.6,tottus,2024-12-05 11:10:02.207707,QUINUA ENTERA,1.0,kg,20.740740740740737,QUINUA ENTERA
