description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Zapallo Macre x kg,,1.0,kg,1.99,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,1.99
Margarina Sello de Oro Barra 90g,,90.0,g,3.3,wong,2024-12-05 18:25:04.559173,MANTEQUILLA ENVASADA,1.0,kg,36.666666666666664
Margarina Laive Swis 90g,,90.0,g,3.5,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,38.888888888888886
Mantequilla con Sal Gloria 50g,,50.0,g,3.7,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,74.0
Maíz Pop Corn PLANET POP Extra Mantequilla Bol...,,85.0,g,3.7,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,43.529411764705884
Margarina Laive Swis 90g,,90.0,g,3.8,wong,2024-12-05 18:25:04.559173,MANTEQUILLA ENVASADA,1.0,kg,42.22222222222222
Salvia 4 ESTACIONES Ensalada Sobre 5g,,5.0,g,4.1,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,819.9999999999999
Margarina Manty Clásica 300g,,300.0,g,4.4,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,14.666666666666668
Ensalada Rusa Green Food 400g,,400.0,g,4.5,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,11.25
Crema a Base de Mantequilla Laive 90g,,90.0,g,4.6,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,51.11111111111111
Crema a Base de Mantequilla LAIVE Pote 90g,,90.0,g,4.6,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,51.11111111111111
Ensalada Col Zanahoria BELL'S FRESCOS Bolsa 250g,BELL'S FRESCOS,250.0,g,4.69,vivanda,2024-12-05 21:57:35.222022,MANTEQUILLA ENVASADA,1.0,kg,18.76
Margarina Laive Swis 200g,,200.0,g,4.8,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,24.0
Canchita para Microondas ACT II con Mantequilla Bolsa 80g,ACT II,80.0,g,4.9,vivanda,2024-12-05 21:57:35.222022,MANTEQUILLA ENVASADA,1.0,kg,61.25000000000001
Margarina Laive Swis 200g,,200.0,g,4.99,wong,2024-12-05 18:25:04.559173,MANTEQUILLA ENVASADA,1.0,kg,24.950000000000003
Chocolate con Mantequilla de Maní Reese's 42g,,42.0,g,5.0,wong,2024-12-05 18:25:04.559173,MANTEQUILLA ENVASADA,1.0,kg,119.04761904761904
Margarina Sello de Oro Pote 200g,,200.0,g,5.2,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,26.0
Sixpack Galletas Saladas Club Social Sabor Mantequilla 24g,,24.0,g,5.2,wong,2024-12-05 18:25:04.559173,MANTEQUILLA ENVASADA,1.0,kg,216.66666666666666
Sixpack Galletas Saladas Club Social Sabor Mantequilla 24g,,24.0,g,5.2,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,216.66666666666666
Chocolate con Leche y Mantequilla de Maní Reese's Nutrageous Barra 47 g,,47.0,g,5.5,wong,2024-12-05 18:25:04.559173,MANTEQUILLA ENVASADA,1.0,kg,117.02127659574468
Ensalada Jardinera BELL'S Bolsa 500g,,500.0,g,5.5,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,11.0
Ensalada Rusa Green Food 400g,,400.0,g,5.52,wong,2024-12-05 18:25:04.559173,MANTEQUILLA ENVASADA,1.0,kg,13.799999999999999
"Ensalada de Papaya, Sandía y Melón BELL'S Band...",,300.0,g,5.69,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,18.96666666666667
"Ensalada de Piña, Sandía y Melón BELL'S Bandej...",,300.0,g,5.69,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,18.96666666666667
"Ensalada de Piña, Sandía y Papaya BELL'S Bande...",,300.0,g,5.69,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,18.96666666666667
"Ensalada de Uva, Sandía y Piña BELL'S Bandeja ...",,300.0,g,5.99,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,19.96666666666667
Mantequilla con Sal Gloria 90g,,90.0,g,6.4,wong,2024-12-05 18:25:04.559173,MANTEQUILLA ENVASADA,1.0,kg,71.11111111111111
Mantequilla con Sal Gloria 90g,,90.0,g,6.4,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,71.11111111111111
Mantequilla GLORIA Caja 90g,,90.0,g,6.4,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,71.11111111111111
Ensalada Rusa BELL'S Bolsa 500g,BELL'S,500.0,g,6.49,vivanda,2024-12-05 21:57:35.222022,MANTEQUILLA ENVASADA,1.0,kg,12.98
Ensalada Parrillera Ecologic x 400 g,,400.0,g,6.7,wong,2024-12-05 18:25:04.559173,MANTEQUILLA ENVASADA,1.0,kg,16.75
Ensalada Parrillera Ecologic x 400 g,,400.0,g,6.7,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,16.75
Ensalada Personal Verde Puro 140g,,140.0,g,6.9,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,49.285714285714285
Margarina Dorina Clásica 220g,,220.0,g,6.9,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,31.363636363636367
Margarina Dorina Light 220g,,220.0,g,6.9,wong,2024-12-05 18:25:04.559173,MANTEQUILLA ENVASADA,1.0,kg,31.363636363636367
Mantequilla LAIVE con Sal Barra 100g,,100.0,g,6.9,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,69.0
Maíz Expandido Pop Corn BUCKY Sabor a Mantequi...,,200.0,g,7.0,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,35.0
Mantequilla LAIVE con Sal Barra 100g,LAIVE,100.0,g,7.4,vivanda,2024-12-05 21:57:35.222022,MANTEQUILLA ENVASADA,1.0,kg,74.0
Floretes de Brócoli 500g aprox,,500.0,g,7.49,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,14.98
Ensalada Mix Primavera BELL'S FRESCOS Táper 15...,,150.0,g,7.49,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,49.93333333333334
Galletas COLOMBINA Butters cookies De mantequi...,,280.0,g,7.6,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,27.14285714285714
Mantequilla con Sal Laive 100g,,100.0,g,7.6,wong,2024-12-05 18:25:04.559173,MANTEQUILLA ENVASADA,1.0,kg,76.0
Ensalada Rusa Precocida GREEN FOOD Bolsa 400g,,400.0,g,7.6,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,19.0
Galletas COLOMBINA Butters cookies De mantequilla Bolsa 280Gr,COLOMBINA,280.0,g,7.7,vivanda,2024-12-05 21:57:35.222022,MANTEQUILLA ENVASADA,1.0,kg,27.5
Galletas de Mantequilla Moments 280g,,280.0,g,7.9,wong,2024-12-05 18:25:04.559173,MANTEQUILLA ENVASADA,1.0,kg,28.214285714285715
Brócoli Metro x kg,,1.0,kg,7.99,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,7.99
Mix Ensalada Precocida Congelada GREEN FOOD Bo...,,400.0,g,8.2,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,20.5
"Ensalada de Melón, Mango y Uva SOLEI Bandeja 3...",,300.0,g,8.79,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,29.299999999999997
Margarina Sello de Oro Pote 400g,,400.0,g,8.99,wong,2024-12-05 18:25:04.559173,MANTEQUILLA ENVASADA,1.0,kg,22.475
"Ensalada de Frutas Piña, Sandía y Papaya Natifrut 340g",,340.0,g,9.49,wong,2024-12-05 18:25:04.559173,MANTEQUILLA ENVASADA,1.0,kg,27.91176470588235
Ensalada Rusa BELL'S FRESCOS Bolsa 500g,BELL'S FRESCOS,500.0,g,9.49,vivanda,2024-12-05 21:57:35.222022,MANTEQUILLA ENVASADA,1.0,kg,18.98
Ensalada Rusa BELL'S Bandeja 500g,,500.0,g,9.49,plaza_vea,2024-12-05 15:10:33.066940,MANTEQUILLA ENVASADA,1.0,kg,18.98
"Ensalada de Frutas Piña, Sandía y Papaya Natifrut 340g",,340.0,g,9.49,metro,2024-12-05 15:51:59.172334,MANTEQUILLA ENVASADA,1.0,kg,27.91176470588235
Mantequilla de Maní LA FLORENCIA Pote 200g,LA FLORENCIA,200.0,g,9.7,vivanda,2024-12-05 21:57:35.222022,MANTEQUILLA ENVASADA,1.0,kg,48.5
