description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Fideos Canuto BELL'S SELECCIÓN Bolsa 250g,S/ 1.10 un,plaza_vea,FIDEOS SECOS DE PASTA CORTA,2024-12-05 14:37:35.156371,250.0,g,Fideos Canuto BELL'S SELECCIÓN Bolsa,1.1,plaza_vea,Bolsa 250g,,FIDEOS SECOS DE PASTA CORTA
Fideos Tornillo BELL'S SELECCIÓN Bolsa 250g,S/ 1.10 un,plaza_vea,FIDEOS SECOS DE PASTA CORTA,2024-12-05 14:37:35.156371,250.0,g,Fideos Tornillo BELL'S SELECCIÓN Bolsa,1.1,plaza_vea,Bolsa 250g,,FIDEOS SECOS DE PASTA CORTA
Fideos Rigattone BELL'S Bolsa 250g,S/ 1.30 un,plaza_vea,FIDEOS SECOS DE PASTA CORTA,2024-12-05 14:37:35.156371,250.0,g,Fideos Rigattone BELL'S Bolsa,1.3,plaza_vea,Bolsa 250g,,FIDEOS SECOS DE PASTA CORTA
Fideos Macarrón BELL'S Empaque 250g,S/ 1.30 un,plaza_vea,FIDEOS SECOS DE PASTA CORTA,2024-12-05 14:37:35.156371,250.0,g,Fideos Macarrón BELL'S Empaque,1.3,plaza_vea,Empaque 250g,,FIDEOS SECOS DE PASTA CORTA
Fideo Caracol 250 g,S/ 1.50,tottus,FIDEOS SECOS DE PASTA CORTA,2024-12-05 11:21:38.766697,250.0,g,Fideo Caracol,1.5,tottus,,GRANO DE ORO,FIDEOS SECOS DE PASTA CORTA
Fideos Tornillo VEGA Bolsa 250gr,S/ 1.50,vega,FIDEOS SECOS DE PASTA CORTA,2024-12-05 11:50:42.165216,250.0,g,Fideos Tornillo VEGA Bolsa r,1.5,vega,,Vega,FIDEOS SECOS DE PASTA CORTA
Fideo Plumilla 250 g,S/ 1.50,tottus,FIDEOS SECOS DE PASTA CORTA,2024-12-05 11:21:38.766697,250.0,g,Fideo Plumilla,1.5,tottus,,GRANO DE ORO,FIDEOS SECOS DE PASTA CORTA
Fideos Cuisine &Co Corbata 250g,S/ 1.60,metro,FIDEOS SECOS DE PASTA CORTA,2024-12-05 15:19:36.244254,250.0,g,Fideos Cuisine &Co Corbata,1.6,metro,,,FIDEOS SECOS DE PASTA CORTA
Fideos Cuisine &Co Cabello de Ángel 250g,S/ 1.60,metro,FIDEOS SECOS DE PASTA CORTA,2024-12-05 15:19:36.244254,250.0,g,Fideos Cuisine &Co Cabello de Ángel,1.6,metro,,,FIDEOS SECOS DE PASTA CORTA
Fideos Macarron BENOTI Bolsa 250g,S/ 1.60,vega,FIDEOS SECOS DE PASTA CORTA,2024-12-05 11:50:42.165216,250.0,g,Fideos Macarron BENOTI Bolsa,1.6,vega,,Benoti,FIDEOS SECOS DE PASTA CORTA
Fideos Cuisine &Co Canuto 250g,S/ 1.60,metro,FIDEOS SECOS DE PASTA CORTA,2024-12-05 15:19:36.244254,250.0,g,Fideos Cuisine &Co Canuto,1.6,metro,,,FIDEOS SECOS DE PASTA CORTA
Pasta de Tomate Cuisine & Co Doypack 100 g,S/ 1.70,metro,FIDEOS SECOS DE PASTA CORTA,2024-12-05 15:19:36.244254,100.0,g,Pasta de Tomate Cuisine & Co Doypack,1.7,metro,,,FIDEOS SECOS DE PASTA CORTA
Fideos Aritos SAN JORGE Bolsa 250g,S/ 1.70 un,plaza_vea,FIDEOS SECOS DE PASTA CORTA,2024-12-05 14:37:35.156371,250.0,g,Fideos Aritos SAN JORGE Bolsa,1.7,plaza_vea,Bolsa 250g,,FIDEOS SECOS DE PASTA CORTA
Fideos Tornillo SAN JORGE Bolsa 250g,S/ 1.70 un,plaza_vea,FIDEOS SECOS DE PASTA CORTA,2024-12-05 14:37:35.156371,250.0,g,Fideos Tornillo SAN JORGE Bolsa,1.7,plaza_vea,Bolsa 250g,,FIDEOS SECOS DE PASTA CORTA
Pasta de Tomate Cuisine & Co Doypack 100 g,S/ 1.70,wong,FIDEOS SECOS DE PASTA CORTA,2024-12-05 17:47:46.762993,100.0,g,Pasta de Tomate Cuisine & Co Doypack,1.7,wong,,,FIDEOS SECOS DE PASTA CORTA
Fideos NICOLINI Codo Chico Bolsa 235g,S/ 1.80 un,plaza_vea,FIDEOS SECOS DE PASTA CORTA,2024-12-05 14:37:35.156371,235.0,g,Fideos NICOLINI Codo Chico Bolsa,1.8,plaza_vea,Bolsa 235g,,FIDEOS SECOS DE PASTA CORTA
