description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Mezcla Láctea Bonlé Defensis Lata 390g,,390.0,g,2.5,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,2.5
Mezcla Láctea en Polvo Bonlé 96g,,96.0,g,2.69,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,96.0,g,2.69
Mezcla Láctea Bonlé Familiar Lata 390g,,390.0,g,3.0,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,3.0
Mezcla Láctea Cremosa Bonlé Lata 390g,,390.0,g,3.5,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,3.5
Leche LAIVE Bolsitarro Bolsa 390gr,Laive,390.0,g,3.6,vega,2024-12-05 12:20:12.620480,LECHE EVAPORADA,390.0,g,3.6
Leche Concentrada Laive Bolsa 390g,,390.0,g,3.7,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,3.7
Leche Evaporada BELL'S Light Lata 410g,,410.0,g,3.9,plaza_vea,2024-12-05 15:01:04.105813,LECHE EVAPORADA,410.0,g,3.9
Mezcla Láctea Ideal Amanecer 390g,,390.0,g,3.9,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,3.9
Mezcla Láctea 50% Menos Grasa Laive Light Caja 480g,,480.0,g,3.9,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,480.0,g,3.9
Leche Evaporada BELL'S Entera Lata 410g,,410.0,g,3.9,plaza_vea,2024-12-05 15:01:04.105813,LECHE EVAPORADA,410.0,g,3.9
Leche Evaporada x 410 g,TOTTUS,410.0,g,4.0,tottus,2024-12-05 11:44:52.746538,LECHE EVAPORADA,410.0,g,4.0
Leche Evaporada Entera Cuisine & Co Lata 410g,,410.0,g,4.1,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,410.0,g,4.1
Leche Evaporada BELL'S Entera Lata 410g,BELL'S,410.0,g,4.2,vivanda,2024-12-05 21:52:37.335395,LECHE EVAPORADA,410.0,g,4.2
Leche Evaporada Entera Gloria Lata 390g,,390.0,g,4.2,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,4.2
Leche Evaporada BELL'S Light Lata 410g,BELL'S,410.0,g,4.2,vivanda,2024-12-05 21:52:37.335395,LECHE EVAPORADA,410.0,g,4.2
Leche Reconstituida GLORIA Entera Lata 390g,Gloria,390.0,g,4.2,vega,2024-12-05 12:20:12.620480,LECHE EVAPORADA,390.0,g,4.2
Leche Reconstituida Gloria Lata 390g,,390.0,g,4.2,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,4.2
Leche Concentrada Laive Botella 390g,,390.0,g,4.3,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,4.3
Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 390g,,390.0,g,4.4,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,4.4
Leche Reconstituida Gloria Light Lata 390g,,390.0,g,4.4,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,4.4
Leche Reconstituida Gloria Niños Lata 390g,,390.0,g,4.4,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,4.4
Leche Concentrada Sin Lactosa Laive Botella 390g,,390.0,g,4.5,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,4.5
Mezcla Láctea Ideal Cremosita Lata 390g,,390.0,g,4.7,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,4.7
Leche Light Laive Sin Lactosa Botella 390g,,390.0,g,4.7,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,4.7
Mezcla Láctea Ideal Light Lata 390g,,390.0,g,4.7,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,4.7
Mezcla Láctea en Polvo Anchor Bolsa 96g,,96.0,g,5.3,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,96.0,g,5.3
Fórmula de Continuación NAN 3 Bebés 390g,,390.0,g,6.4,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,6.4
Fórmula de Continuación NAN 2 Bebés 390g,,390.0,g,6.4,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,6.4
Bebida a Base de Coco Evaporada Lata 360 g,,360.0,g,8.7,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,360.0,g,8.7
Sixpack Leche Reconstituida con Vitaminas Gloria Lata 170g,,170.0,g,12.9,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,170.0,g,12.9
Sixpack Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 170g,,170.0,g,14.9,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,170.0,g,14.9
Pack x6 Gloria Leche Light 170g,,6.0,g,14.9,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,6.0,g,14.9
Sixpack Mezcla Láctea Bonlé Defensis Lata 390g,,390.0,g,15.1,metro,2024-12-05 15:43:22.901414,LECHE EVAPORADA,390.0,g,15.1
